CPF-Source-ID-Anchor	CPF-Type	CPF-Relation-Type	CPF-Source-ID-Target	RD-Type	RD-Relation-Type	RD-Source-ID
24885.c01	person	associatedWith	24885.r001	ArchivalResource	creatorOf	24885.xml
24885.r001	person	associatedWith	24885.c01	ArchivalResource	referencedIn	24885.xml
24891.c01	person	associatedWith	24891.r001	ArchivalResource	creatorOf	24891.xml
	person	associatedWith	24891.r002
	person	associatedWith	24891.r003
	person	associatedWith	24891.r004
24891.r001	person	associatedWith	24891.c01	ArchivalResource	referencedIn	24891.xml
24891.r002	person	associatedWith	24891.c01	ArchivalResource	referencedIn	24891.xml
24891.r003	person	associatedWith	24891.c01	ArchivalResource	referencedIn	24891.xml
24891.r004	person	associatedWith	24891.c01	ArchivalResource	referencedIn	24891.xml
24515.c01				ArchivalResource	creatorOf	24515.xml
24887.c01	person	correspondedWith	24887.r001	ArchivalResource	creatorOf	24887.xml
	person	correspondedWith	24887.r002
24887.r001	person	correspondedWith	24887.c01	ArchivalResource	referencedIn	24887.xml
24887.r002	person	correspondedWith	24887.c01	ArchivalResource	referencedIn	24887.xml
24893.c01	person	associatedWith	24893.r001	ArchivalResource	creatorOf	24893.xml
	person	associatedWith	24893.r002
	corporateBody	associatedWith	24893.r003
24893.r001	person	associatedWith	24893.c01	ArchivalResource	referencedIn	24893.xml
24893.r002	person	associatedWith	24893.c01	ArchivalResource	referencedIn	24893.xml
24893.r003	person	associatedWith	24893.c01	ArchivalResource	referencedIn	24893.xml
25596.c01	corporateBody	associatedWith	25596.r001	ArchivalResource	creatorOf	25596.xml
25596.r001	person	associatedWith	25596.c01	ArchivalResource	referencedIn	25596.xml
24845.r001				ArchivalResource	referencedIn	24845.xml
24845.r002				ArchivalResource	referencedIn	24845.xml
24845.r003				ArchivalResource	referencedIn	24845.xml
24845.r004				ArchivalResource	referencedIn	24845.xml
24845.r005				ArchivalResource	referencedIn	24845.xml
24845.r006				ArchivalResource	referencedIn	24845.xml
24845.r007				ArchivalResource	referencedIn	24845.xml
24676.c01	person	associatedWith	24676.r001	ArchivalResource	creatorOf	24676.xml
	person	associatedWith	24676.r002
	corporateBody	associatedWith	24676.r003
	corporateBody	associatedWith	24676.r004
24676.r001	person	associatedWith	24676.c01	ArchivalResource	referencedIn	24676.xml
24676.r002	person	associatedWith	24676.c01	ArchivalResource	referencedIn	24676.xml
24676.r003	person	associatedWith	24676.c01	ArchivalResource	referencedIn	24676.xml
24676.r004	person	associatedWith	24676.c01	ArchivalResource	referencedIn	24676.xml
24892.c01	person	associatedWith	24892.r001	ArchivalResource	creatorOf	24892.xml
	corporateBody	associatedWith	24892.r002
24892.r001	person	associatedWith	24892.c01	ArchivalResource	referencedIn	24892.xml
24892.r002	person	associatedWith	24892.c01	ArchivalResource	referencedIn	24892.xml
24886.c01	person	associatedWith	24886.r001	ArchivalResource	creatorOf	24886.xml
	person	associatedWith	24886.r002
	person	associatedWith	24886.r003
	person	associatedWith	24886.r004
	person	associatedWith	24886.r005
	person	associatedWith	24886.r006
	person	associatedWith	24886.r007
	person	associatedWith	24886.r008
	person	associatedWith	24886.r009
24886.r001	person	associatedWith	24886.c01	ArchivalResource	referencedIn	24886.xml
24886.r002	person	associatedWith	24886.c01	ArchivalResource	referencedIn	24886.xml
24886.r003	person	associatedWith	24886.c01	ArchivalResource	referencedIn	24886.xml
24886.r004	person	associatedWith	24886.c01	ArchivalResource	referencedIn	24886.xml
24886.r005	person	associatedWith	24886.c01	ArchivalResource	referencedIn	24886.xml
24886.r006	person	associatedWith	24886.c01	ArchivalResource	referencedIn	24886.xml
24886.r007	person	associatedWith	24886.c01	ArchivalResource	referencedIn	24886.xml
24886.r008	person	associatedWith	24886.c01	ArchivalResource	referencedIn	24886.xml
24886.r009	person	associatedWith	24886.c01	ArchivalResource	referencedIn	24886.xml
24672.c01	person	correspondedWith	24672.r001	ArchivalResource	creatorOf	24672.xml
	person	correspondedWith	24672.r002
	person	correspondedWith	24672.r003
	person	correspondedWith	24672.r004
	person	correspondedWith	24672.r005
	corporateBody	associatedWith	24672.r006
	corporateBody	associatedWith	24672.r007
	corporateBody	associatedWith	24672.r008
24672.r001	person	correspondedWith	24672.c01	ArchivalResource	referencedIn	24672.xml
24672.r002	person	correspondedWith	24672.c01	ArchivalResource	referencedIn	24672.xml
24672.r003	person	correspondedWith	24672.c01	ArchivalResource	referencedIn	24672.xml
24672.r004	person	correspondedWith	24672.c01	ArchivalResource	referencedIn	24672.xml
24672.r005	person	correspondedWith	24672.c01	ArchivalResource	referencedIn	24672.xml
24672.r006	person	associatedWith	24672.c01	ArchivalResource	referencedIn	24672.xml
24672.r007	person	associatedWith	24672.c01	ArchivalResource	referencedIn	24672.xml
24672.r008	person	associatedWith	24672.c01	ArchivalResource	referencedIn	24672.xml
24868.r001				ArchivalResource	referencedIn	24868.xml
24868.r002				ArchivalResource	referencedIn	24868.xml
24868.r003				ArchivalResource	referencedIn	24868.xml
24868.r004				ArchivalResource	referencedIn	24868.xml
24868.r005				ArchivalResource	referencedIn	24868.xml
24868.r006				ArchivalResource	referencedIn	24868.xml
24868.r007				ArchivalResource	referencedIn	24868.xml
24868.r008				ArchivalResource	referencedIn	24868.xml
24868.r009				ArchivalResource	referencedIn	24868.xml
24868.r010				ArchivalResource	referencedIn	24868.xml
24868.r011				ArchivalResource	referencedIn	24868.xml
24868.r012				ArchivalResource	referencedIn	24868.xml
24895.r001				ArchivalResource	referencedIn	24895.xml
24895.r002				ArchivalResource	referencedIn	24895.xml
24895.r003				ArchivalResource	referencedIn	24895.xml
24895.r004				ArchivalResource	referencedIn	24895.xml
24895.r005				ArchivalResource	referencedIn	24895.xml
24895.r006				ArchivalResource	referencedIn	24895.xml
24895.r007				ArchivalResource	referencedIn	24895.xml
24895.r008				ArchivalResource	referencedIn	24895.xml
24895.r009				ArchivalResource	referencedIn	24895.xml
24895.r010				ArchivalResource	referencedIn	24895.xml
24895.r011				ArchivalResource	referencedIn	24895.xml
24895.r012				ArchivalResource	referencedIn	24895.xml
24895.r013				ArchivalResource	referencedIn	24895.xml
24895.r014				ArchivalResource	referencedIn	24895.xml
24894.c01	person	associatedWith	24894.r001	ArchivalResource	creatorOf	24894.xml
	person	associatedWith	24894.r002
	person	associatedWith	24894.r003
24894.r001	person	associatedWith	24894.c01	ArchivalResource	referencedIn	24894.xml
24894.r002	person	associatedWith	24894.c01	ArchivalResource	referencedIn	24894.xml
24894.r003	person	associatedWith	24894.c01	ArchivalResource	referencedIn	24894.xml
21318.c01	person	associatedWith	21318.r001	ArchivalResource	creatorOf	21318.xml
	person	associatedWith	21318.r002
	person	associatedWith	21318.r003
	person	associatedWith	21318.r004
21318.r001	person	associatedWith	21318.c01	ArchivalResource	referencedIn	21318.xml
21318.r002	person	associatedWith	21318.c01	ArchivalResource	referencedIn	21318.xml
21318.r003	person	associatedWith	21318.c01	ArchivalResource	referencedIn	21318.xml
21318.r004	person	associatedWith	21318.c01	ArchivalResource	referencedIn	21318.xml
24923.c01	person	associatedWith	24923.r001	ArchivalResource	creatorOf	24923.xml
	person	associatedWith	24923.r002
	corporateBody	associatedWith	24923.r003
24923.r001	person	associatedWith	24923.c01	ArchivalResource	referencedIn	24923.xml
24923.r002	person	associatedWith	24923.c01	ArchivalResource	referencedIn	24923.xml
24923.r003	person	associatedWith	24923.c01	ArchivalResource	referencedIn	24923.xml
