CPF-Source-ID-Anchor	CPF-Type	CPF-Relation-Type	CPF-Source-ID-Target	RD-Type	RD-Relation-Type	RD-Source-ID
25763.r005	person	associatedWith	25763.c01	ArchivalResource	referencedIn	25763.xml
24928.c01	person	associatedWith	24928.r001	ArchivalResource	creatorOf	24928.xml
	person	associatedWith	24928.r002
	person	associatedWith	24928.r003
	person	associatedWith	24928.r004
	person	associatedWith	24928.r005
	corporateBody	associatedWith	24928.r006
24928.r001	person	associatedWith	24928.c01	ArchivalResource	referencedIn	24928.xml
24928.r002	person	associatedWith	24928.c01	ArchivalResource	referencedIn	24928.xml
24928.r003	person	associatedWith	24928.c01	ArchivalResource	referencedIn	24928.xml
24928.r004	person	associatedWith	24928.c01	ArchivalResource	referencedIn	24928.xml
24928.r005	person	associatedWith	24928.c01	ArchivalResource	referencedIn	24928.xml
24928.r006	person	associatedWith	24928.c01	ArchivalResource	referencedIn	24928.xml
25767.c01	person	associatedWith	25767.r001	ArchivalResource	creatorOf	25767.xml
25767.r001	person	associatedWith	25767.c01	ArchivalResource	referencedIn	25767.xml
24874.c01	person	associatedWith	24874.r001	ArchivalResource	creatorOf	24874.xml
24874.r001	person	associatedWith	24874.c01	ArchivalResource	referencedIn	24874.xml
25772.c01				ArchivalResource	creatorOf	25772.xml
25809.r001				ArchivalResource	referencedIn	25809.xml
25809.r002				ArchivalResource	referencedIn	25809.xml
25809.r003				ArchivalResource	referencedIn	25809.xml
25809.r004				ArchivalResource	referencedIn	25809.xml
25764.c01	person	associatedWith	25764.r001	ArchivalResource	creatorOf	25764.xml
	person	associatedWith	25764.r002
	person	associatedWith	25764.r003
	person	associatedWith	25764.r004
	person	associatedWith	25764.r005
	person	associatedWith	25764.r006
	person	associatedWith	25764.r007
	corporateBody	associatedWith	25764.r008
25764.r001	person	associatedWith	25764.c01	ArchivalResource	referencedIn	25764.xml
25764.r002	person	associatedWith	25764.c01	ArchivalResource	referencedIn	25764.xml
25764.r003	person	associatedWith	25764.c01	ArchivalResource	referencedIn	25764.xml
25764.r004	person	associatedWith	25764.c01	ArchivalResource	referencedIn	25764.xml
25764.r005	person	associatedWith	25764.c01	ArchivalResource	referencedIn	25764.xml
25764.r006	person	associatedWith	25764.c01	ArchivalResource	referencedIn	25764.xml
25764.r007	person	associatedWith	25764.c01	ArchivalResource	referencedIn	25764.xml
25764.r008	person	associatedWith	25764.c01	ArchivalResource	referencedIn	25764.xml
24888.c01	person	associatedWith	24888.r001	ArchivalResource	creatorOf	24888.xml
	person	correspondedWith	24888.r002
24888.r001	person	associatedWith	24888.c01	ArchivalResource	referencedIn	24888.xml
24888.r002	person	correspondedWith	24888.c01	ArchivalResource	referencedIn	24888.xml
24877.c01	corporateBody	associatedWith	24877.r001	ArchivalResource	creatorOf	24877.xml
