CPF-Source-ID-Anchor	CPF-Type	CPF-Relation-Type	CPF-Source-ID-Target	RD-Type	RD-Relation-Type	RD-Source-ID
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r023	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r024	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r025	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r026	person	correspondedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	correspondedWith	mu020009.c02
	person	correspondedWith	mu020009.c03
mu020009.r027	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r028	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r029	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r030	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r031	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r032	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r033	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r034	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r035	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r036	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r037	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r038	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r039	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r040	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
	person	associatedWith	mu020009.c03
mu020009.r041	person	associatedWith	mu020009.c01	ArchivalResource	referencedIn	mu020009.xml
	person	associatedWith	mu020009.c02
